"Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default"
31,88812,28493,300,24,3,10.83,60,"High School","Part-time","Divorced","Yes",0
47,25539,156997,589,112,3,10.68,60,"PhD","Self-employed","Single","No",0
29,78489,230668,314,36,4,23.21,48,"High School","Full-time","Divorced","No",1
38,97822,217929,434,60,2,21.19,12,"High School","Self-employed","Single","No",0
35,33781,19500,751,100,3,6.32,48,"High School","Self-employed","Single","No",0
67,123094,37632,486,87,4,5.26,12,"PhD","Part-time","Married","No",0
33,121482,57600,403,37,2,7.65,48,"Bachelor's","Full-time","Divorced","No",0
18,61214,147390,344,61,1,6.21,36,"High School","Unemployed","Married","Yes",1
30,63509,34709,644,91,1,21,36,"PhD","Self-employed","Married","Yes",0
22,124740,184897,469,61,1,8.23,48,"Master's","Unemployed","Married","No",0
21,31386,84391,831,108,3,19.36,48,"Bachelor's","Full-time","Single","No",0
67,17765,94955,347,52,1,4.56,12,"Master's","Self-employed","Single","Yes",0
28,77259,181969,584,5,3,7.37,12,"High School","Full-time","Divorced","Yes",0
20,48534,163660,505,49,2,13.88,24,"Master's","Self-employed","Single","Yes",1
31,64451,113293,419,115,1,24.58,36,"PhD","Part-time","Divorced","Yes",0
34,38314,127555,565,52,2,9.01,12,"Master's","Unemployed","Married","No",0
18,102710,30636,564,27,2,2.52,24,"Bachelor's","Unemployed","Single","Yes",0
33,74255,211288,727,94,3,22.51,36,"Master's","Full-time","Married","Yes",0
45,60001,170771,543,58,1,18.27,36,"Bachelor's","Full-time","Married","Yes",0
36,108834,29116,497,0,1,24,12,"High School","Unemployed","Divorced","No",0
63,33791,121809,785,42,2,11.23,36,"PhD","Part-time","Divorced","No",0
62,146115,166185,673,23,2,9.69,36,"Master's","Self-employed","Divorced","Yes",0
67,15643,82478,720,81,4,20.18,48,"Master's","Full-time","Divorced","No",0
57,48416,119894,339,61,1,7.6,12,"PhD","Self-employed","Divorced","No",0
36,27759,149980,398,61,4,2.38,60,"Bachelor's","Self-employed","Divorced","Yes",1
65,74237,11876,332,41,2,22.91,48,"High School","Self-employed","Married","Yes",0
47,103480,69878,449,20,2,11.18,36,"Master's","Unemployed","Divorced","No",1
28,58851,58632,636,37,1,19.42,48,"Bachelor's","Unemployed","Single","No",0
23,134413,197698,513,61,1,22.3,24,"High School","Part-time","Divorced","No",0
48,75825,163715,551,45,3,22.91,48,"High School","Self-employed","Divorced","No",0
34,52472,117688,765,67,2,21.73,36,"Bachelor's","Full-time","Divorced","No",0
21,43524,58183,758,100,1,11.93,36,"High School","Part-time","Single","No",0
39,114518,202163,606,27,2,12.17,60,"Bachelor's","Full-time","Divorced","Yes",0
51,149145,170050,309,88,3,23.71,12,"Bachelor's","Self-employed","Single","Yes",0
23,82309,57285,581,18,2,7.46,24,"Master's","Full-time","Married","No",0
68,39184,209346,464,96,4,19.85,48,"Bachelor's","Self-employed","Single","No",0
58,25987,39038,725,103,1,22.45,12,"Bachelor's","Part-time","Divorced","Yes",0
41,48628,234028,687,105,1,8.85,12,"Master's","Part-time","Single","No",0
53,31851,103174,597,2,1,7.33,60,"High School","Unemployed","Married","No",0
54,73576,104250,831,74,2,4.9,48,"Master's","Part-time","Married","Yes",0
24,91000,229136,849,65,4,8.06,36,"High School","Unemployed","Single","No",1
53,69502,101492,847,0,2,10.49,48,"PhD","Unemployed","Married","Yes",0
64,143763,171432,553,16,4,5.74,12,"Bachelor's","Part-time","Married","No",0
49,144767,67737,829,42,3,2.94,48,"High School","Part-time","Married","No",0
57,40532,47227,481,52,3,7.42,48,"PhD","Full-time","Married","Yes",0
63,111251,20456,712,85,3,6.71,48,"Master's","Unemployed","Divorced","Yes",0
58,77041,29826,809,62,1,18.38,12,"High School","Self-employed","Single","Yes",0
39,87832,233313,544,13,4,15.15,24,"Master's","Full-time","Single","Yes",1
44,36508,211551,318,73,1,15.75,36,"High School","Part-time","Married","Yes",1
42,44988,28197,315,36,3,24.32,12,"PhD","Self-employed","Married","No",1
63,45590,89604,338,48,3,14.56,36,"PhD","Full-time","Single","Yes",0
65,95565,154382,370,43,2,10.58,24,"High School","Unemployed","Single","No",0
27,138475,149190,560,50,2,24.34,12,"PhD","Part-time","Divorced","Yes",0
35,86448,28580,508,81,2,16.18,60,"Master's","Part-time","Married","Yes",0
27,114491,75610,756,85,2,6.39,36,"High School","Unemployed","Divorced","Yes",0
60,81745,176459,775,60,2,6.02,24,"Master's","Self-employed","Single","Yes",0
49,142866,119489,780,35,3,2.43,60,"High School","Unemployed","Divorced","Yes",0
69,123271,233499,600,15,3,12.94,36,"High School","Part-time","Married","No",0
62,89267,91234,661,76,4,17.74,60,"Master's","Self-employed","Divorced","No",0
53,149108,105638,470,2,4,10.16,48,"Master's","Full-time","Divorced","Yes",0
58,91415,238856,777,20,2,22.16,24,"Master's","Unemployed","Single","Yes",0
64,119198,211599,514,46,4,18.49,36,"High School","Full-time","Divorced","Yes",0
58,41083,74531,569,85,1,7.29,36,"Bachelor's","Unemployed","Divorced","No",0
51,44973,219176,713,29,1,13.81,24,"Bachelor's","Part-time","Divorced","No",0
58,43370,37768,731,97,4,3.87,36,"Master's","Self-employed","Divorced","No",0
42,78589,109026,751,49,1,13.53,48,"PhD","Unemployed","Married","No",0
18,110000,106250,381,16,1,19.24,12,"Bachelor's","Self-employed","Married","Yes",1
38,127163,105841,493,58,1,22.81,48,"PhD","Unemployed","Single","No",0
23,113470,111131,810,56,2,16.84,24,"PhD","Unemployed","Divorced","Yes",1
60,70884,234354,495,58,2,5.68,24,"High School","Self-employed","Single","Yes",0
23,36556,181153,319,12,4,9.15,24,"PhD","Self-employed","Single","No",1
56,24120,57915,626,82,4,3.49,60,"Master's","Self-employed","Divorced","Yes",0
50,125462,75076,375,32,2,3.13,24,"High School","Full-time","Single","No",0
59,23188,177499,713,88,4,3.73,60,"High School","Unemployed","Single","No",0
65,102019,212914,702,67,3,2.16,60,"Master's","Self-employed","Single","Yes",0
58,126808,138681,782,72,3,11.94,24,"PhD","Part-time","Married","Yes",0
52,94596,98451,806,3,4,18.58,24,"Master's","Part-time","Married","Yes",0
69,122307,77867,585,44,3,23.86,48,"Bachelor's","Self-employed","Single","Yes",0
58,71304,236237,464,106,3,5.64,48,"Bachelor's","Part-time","Married","No",0
24,58166,229635,504,105,4,14.61,60,"PhD","Full-time","Divorced","No",0
30,125142,120844,320,43,4,8.23,36,"Master's","Self-employed","Single","Yes",0
66,103902,225073,485,61,2,22.04,36,"PhD","Part-time","Divorced","No",0
29,31670,110299,341,71,4,19.82,36,"Bachelor's","Part-time","Divorced","No",1
54,82162,189046,610,75,3,8.44,48,"High School","Unemployed","Single","Yes",0
57,75604,165358,488,112,3,15.09,24,"PhD","Self-employed","Single","Yes",1
30,66204,139365,387,75,1,5.31,60,"Master's","Part-time","Single","No",0
33,48496,93401,781,92,4,3.76,36,"High School","Self-employed","Divorced","No",0
49,64761,226720,562,27,1,13.91,36,"Master's","Full-time","Married","Yes",0
55,72253,160304,419,100,1,5.91,24,"PhD","Part-time","Divorced","Yes",0
39,103170,233365,382,89,2,6.93,36,"Master's","Full-time","Married","No",0
34,38471,63939,399,36,4,21.8,36,"Bachelor's","Unemployed","Married","Yes",1
32,131966,229645,460,56,1,14.45,36,"PhD","Unemployed","Married","Yes",0
25,75852,249892,683,69,2,22.31,60,"Bachelor's","Unemployed","Divorced","No",0
27,136429,192712,757,35,2,9.96,12,"High School","Unemployed","Single","Yes",1
46,73823,134206,665,70,1,14.43,12,"High School","Part-time","Single","No",0
26,141054,112538,427,4,1,10.26,24,"High School","Self-employed","Single","Yes",0
24,119778,76723,503,50,1,15.11,36,"Master's","Unemployed","Married","No",0
64,48668,149788,525,61,1,2.52,36,"High School","Unemployed","Divorced","No",0
38,119653,156569,732,87,1,3.01,36,"High School","Self-employed","Divorced","No",0
53,83797,54682,369,47,2,20.02,12,"PhD","Self-employed","Married","No",0
20,80323,42226,524,56,3,22.46,36,"PhD","Unemployed","Married","Yes",0
38,21060,164586,312,66,3,10.08,60,"Master's","Unemployed","Married","Yes",0
19,143539,150392,514,61,2,15.01,36,"Master's","Unemployed","Divorced","Yes",0
46,43409,68053,835,43,1,8.04,24,"High School","Unemployed","Divorced","No",0
32,77499,43416,442,45,4,19.75,24,"PhD","Full-time","Divorced","No",1
51,142058,94149,687,65,1,18.93,60,"Bachelor's","Unemployed","Divorced","Yes",0
57,33826,18786,570,49,1,9.55,24,"Master's","Full-time","Single","Yes",0
56,105351,246151,332,25,4,10.23,48,"Bachelor's","Self-employed","Married","Yes",0
20,82809,48933,352,70,1,20.46,12,"PhD","Full-time","Divorced","No",0
24,115112,134525,478,8,1,9,48,"PhD","Part-time","Married","No",1
59,104684,87811,721,97,1,3.94,60,"Bachelor's","Unemployed","Divorced","Yes",0
67,17110,230135,628,94,4,22.17,36,"High School","Full-time","Divorced","No",0
33,140589,28143,666,75,2,8.58,60,"Master's","Part-time","Married","Yes",0
38,110668,5987,432,69,4,15.62,60,"Bachelor's","Unemployed","Single","Yes",0
66,86862,114176,329,94,2,7.7,36,"PhD","Part-time","Single","No",0
52,45304,201249,538,39,4,19.51,36,"Bachelor's","Part-time","Single","No",0
34,78975,205916,419,29,3,8.32,36,"PhD","Full-time","Single","Yes",0
31,67705,167228,477,28,4,11.02,24,"High School","Unemployed","Divorced","No",0
27,128560,51010,420,21,3,16.91,12,"High School","Self-employed","Divorced","No",0
37,78782,42315,744,72,2,18.46,60,"High School","Unemployed","Married","No",0
22,77997,157711,509,77,2,19.56,24,"PhD","Full-time","Single","Yes",0
24,136756,124244,734,103,3,18.36,12,"Master's","Part-time","Divorced","Yes",1
49,137109,223816,431,43,4,2.63,60,"PhD","Self-employed","Single","No",0
39,71907,246135,639,53,4,9.99,36,"High School","Unemployed","Married","Yes",0
53,105001,223548,660,42,1,6.37,24,"PhD","Full-time","Married","No",0
20,68554,167110,397,98,1,23.06,48,"Bachelor's","Part-time","Divorced","Yes",0
24,137748,220515,774,63,4,21.84,48,"Master's","Full-time","Divorced","Yes",0
29,30375,132128,512,74,4,15.74,12,"High School","Self-employed","Divorced","No",0
67,127220,125035,829,81,4,15.83,12,"Master's","Part-time","Divorced","Yes",0
48,53133,60566,445,84,3,4.19,12,"Bachelor's","Self-employed","Single","Yes",0
33,20921,124012,730,23,3,14.11,48,"High School","Full-time","Single","No",0
29,66984,237175,597,6,1,17.45,48,"PhD","Unemployed","Single","Yes",0
35,17029,51713,417,119,4,9.97,48,"PhD","Full-time","Divorced","Yes",0
63,46791,249003,638,104,1,2.34,36,"High School","Unemployed","Married","Yes",0
41,28758,24365,591,7,2,2.13,36,"High School","Part-time","Married","No",0
30,136755,18741,615,63,3,21.44,12,"Bachelor's","Unemployed","Married","No",0
